Date,MSFT_rolling_beta,LMT_rolling_beta
2021-11-19,0.983178518512654,0.3883275268581475
2021-11-22,0.9831327715076529,0.37530808161809764
2021-11-23,0.9881479333725444,0.37300848535605746
2021-11-24,0.9863894072249094,0.3586588131897051
2021-11-26,0.9908581628050657,0.3502284143700833
2021-11-29,0.9961474164294972,0.34786091418275217
2021-11-30,0.9950586043408131,0.35138792343029124
2021-12-01,0.982588636665081,0.3612597053317192
2021-12-02,0.9680885425263038,0.36253730728673633
2021-12-03,0.9750039840756126,0.35200927960699885
2021-12-06,0.9785722981939312,0.3562242146386063
2021-12-07,0.983272869565918,0.3442888589916316
2021-12-08,0.9816956094157238,0.34708865618497636
2021-12-09,0.9730577469139658,0.34609040937024993
2021-12-10,0.9806717359923625,0.3479738660950346
2021-12-13,0.9827395423282872,0.3471540427705225
2021-12-14,0.9958985003981473,0.343791307072466
2021-12-15,1.0067881079772656,0.3393656438191816
2021-12-16,1.0182862384335458,0.33595321244457105
2021-12-17,1.0203227597636462,0.33878368041143914
2021-12-20,1.019963462858832,0.35062539743279253
2021-12-21,1.0245320504999864,0.3507129008996373
2021-12-22,1.0279662550480455,0.3523402362121788
2021-12-23,1.0269088276169445,0.3551357082692923
2021-12-27,1.0322372261601132,0.35813102900593397
2021-12-28,1.0317201758816112,0.35519601364888853
2021-12-29,1.0316130282797555,0.35535955291437044
2021-12-30,1.0338602426484738,0.35553139053116645
2021-12-31,1.0354537068165446,0.3540577014453967
2022-01-03,1.0254184371581303,0.3335822115451421
2022-01-04,1.0317362555927219,0.3257023574014303
2022-01-05,1.0630216377062809,0.3313484749485333
2022-01-06,1.0556574968202521,0.3500641918931695
2022-01-07,1.0542701685670977,0.352568648054206
2022-01-10,1.0525940080807497,0.3535178475873016
2022-01-11,1.0499793584274597,0.35105985536801243
2022-01-12,1.0502502944565688,0.3508943259578672
2022-01-13,1.0707941914640726,0.3383508532069855
2022-01-14,1.0740009682249547,0.3394941379698833
2022-01-18,1.074196367925995,0.3298148306082924
2022-01-19,1.054214292836487,0.3295803406955642
2022-01-20,1.050982656288041,0.33077267001250954
2022-01-21,1.048425897532373,0.3349096492106446
2022-01-24,1.0457457336745601,0.334626844898115
2022-01-25,1.057030169251605,0.29938202376007095
2022-01-26,1.088250864239482,0.3133300515004851
2022-01-27,1.0743868752812795,0.32250953185132075
2022-01-28,1.0663215032903497,0.3121405299740532
2022-01-31,1.036842806112892,0.2916125214003682
2022-02-01,1.0416426010306985,0.27312468241867216
2022-02-02,1.043192631816832,0.2729429533211413
2022-02-03,1.0691754777462565,0.25243070895421527
2022-02-04,1.0728420867338546,0.2515485420371881
2022-02-07,1.0790147200982958,0.25084183580066666
2022-02-08,1.0791911010210586,0.2536507944722935
2022-02-09,1.0818826562077382,0.24742395187050575
2022-02-10,1.0900995397541304,0.2637589872583481
2022-02-11,1.0943958774783928,0.23652500316582406
2022-02-14,1.0935189530605116,0.23987724931448146
2022-02-15,1.0923456014475963,0.22639839045674134
2022-02-16,1.0937928684850247,0.22714307841864884
2022-02-17,1.0993658803646704,0.21808560283534503
